Category,Name,Marked Price,Min Discounted Price,Description,Image URLs
Boxing Mitts/Pads,Boxing Mitt Punching Pads USI UNIVERSAL Contra Focus Mitts,3507.0,3507.0,USI has tried to take training to a new level by introducing this high tech range. USI has studied all the missing features in the conventional mitts and tried to answer all in this range of Contra Focus Mitt pads.The Contra series has introduced preshaped padded zones to deliver maximum protection. These pads are ultra-strong yet very light. The Soft lining material also wicks away the moisture from the pads.,https://sportscenter.com.np/wp-content/uploads/2020/10/boxing-mitts-contra-camo-1-1-600x600.jpg
Boxing Mitts/Pads,Boxing Mitt WOLON,3040.0,3040.0,The Budget brand from CHINA. WOLON is a well-reputed Martial Arts Equipment Manufacturer. Built from PU it’s light in weight and lighter on your wallet as well. Sports Center recommends the WOLON BoxingMitts for boxing mitts work in boxing training gyms ideally for beginners and intermediate level players.,https://sportscenter.com.np/wp-content/uploads/2021/06/boxing-mitts-wolon-1-600x600.jpg
Boxing Mitts/Pads,Boxing Mitts Punching Pads USI UNIVERSAL Focus Comferto,2322.0,2322.0,Focus pads/ mitts work are always fun. It’s effective and an ideal workout tool.Sports Center recommends this focus mitt for beginner and intermediate level boxers. One size fits all.,https://sportscenter.com.np/wp-content/uploads/2020/10/boxing-mitts-comferto-mitts-2-600x600.jpg
Boxing Mitts/Pads,Boxing Mitts Punching Pads USI UNIVERSAL Neon Focus Mitts,3375.0,3375.0,"Focus Mitts training can help youimprove punching skills (technique, power, speed, endurance, accuracy, timing) improve offensive skills (angles, combinations) improve defensive skills (blocking, parrying, slipping, rolling) practice moving against a live person (footwork, strategy, mimicking styles, counter-punching)Boxing mitts for training idealfor intermediate, expert-levelgel palm for maximum comfort,molded pads for maximum comfort and durability comesin attractive bag packing",https://sportscenter.com.np/wp-content/uploads/2020/10/boxing-mitts-Neon-focus-1-1-600x600.jpg
Boxing Mitts/Pads,Boxing Target Paddle USI UNIVERSAL IMMORTAL,4420.0,4420.0,"USI is a Brand Pioneer in Martial Arts and Fitness Equipment. Their product is fire from every aspect. Quality-wise their products are A1. The brand comes from the sporting capital of the world, Jalandhar India. They specialize in martial arts and Physical Fitness Equipment.Target Paddles have been a popular option over the mitt pads. The major advantage is that it gives the coach more room to work around.Sports Center recommends the target paddle for training use and especially for coaches for their combination drills.Comes in a pair.",https://sportscenter.com.np/wp-content/uploads/2021/06/target-paddle-5-1-600x600.jpg
Boxing Mitts/Pads,Boxing Thai Arm Pads USI UNIVERSAL Neon,3090.0,3090.0,"Thai Arm Pads are mostly used in Kick Boxing Muay Thai, Karate, Taekwando, etc. The Thai arm pads give sturdy pads feel that cannot be matched by kick target pads or boxing mitts.They absorb the maximum hits and can assist a coach or a trainer to yield out more from his students.The USI Universal Neon series Thai arm pads are made with Hi Tech PU Material and durable padding structures. They offer great value for money for customers on a budget.",https://sportscenter.com.np/wp-content/uploads/2020/10/thai-arm-pad-600x600.jpg
Boxing Mitts/Pads,Martial Arts USI UNIVERSAL Flat Hit Shield,4130.0,4130.0,"Ideal hit Pads for Kickboxing, Muay Thai, Karate, and other martial arts. Heavy Duty use.DURABLEAll products made with heavyduty vinyl using high qualitythread.EXPERTISEAll products created byexperienced designers, cuttersand sewersSAFESuperior quality high densityfoam cores for maximumprotection and safety",https://sportscenter.com.np/wp-content/uploads/2020/11/flat-hit-shield-1-600x600.jpg
Boxing Shoes,Boxing Shoes USI Universal Tuf Wear,5990.0,5990.0,"One of the most demanded product in our stores. It is the Boxing shoes made of PU on top, Rubber outsole giving the maximum grip.",https://sportscenter.com.np/wp-content/uploads/2025/05/Boxing-shoes-USI-1-600x600.jpg
Gloves,Boxing Gloves Booster PU,4000.0,4000.0,Booster boxing though relatively very new has made a mark in the field of martial arts. It speaks quality and the pricing is fair in comparison to other brands. Robust build and will last for the time.,https://sportscenter.com.np/wp-content/uploads/2024/10/boxing-gloves-booster-600x600.jpg
Gloves,Boxing Gloves KOXTON CHAMPIONSHIP,5793.0,5532.0,A very well perceived brand in the market. A dark horse in regards to its martial arts product. In no way is it second to any other competing brands in the market.,https://sportscenter.com.np/wp-content/uploads/2020/10/koxtons-1-1-1-600x600.jpg
Gloves,Boxing Gloves Top King Air Leather,12600.0,12600.0,"TOP KING is a very strong and fast growing Thai brand with exceptional designs.Great boxing gloves in an outstanding quality for a very long durability.Cowhide leather.Handmade in Thailand.TOP KING is a former sub company of the TWINS Muay Thai imperium. With a mixture of fresh new concepts and designs TOP KING made it to an own brand in no time. Now TOP KING is raising the bar for new products like boxing gloves, TOP KING shin guards or Muay Thai Shorts. TOP KING delivers a wide range of colors for their products which can be found nowhere else in the market.",https://sportscenter.com.np/wp-content/uploads/2024/10/Top-king-gloves-4-600x600.jpg
