Category,Name,Marked Price,Min Discounted Price,Description,Image URLs
Table Tennis Board,Table Tennis Board Stag Super Mini,5660.0,5660.0,It was in the year 1922 STAG was established. Stag has come a long way from the humble beginnings of a small family business to a renowned multi-sport brand catering to 202 countries the world over. It was in the year. STAG is one of the biggest manufacturers of Sporting goods in the World. In Table Tennis STAG is on the top and sponsors many national teams around the world including the National Team of Nepal Table Tennis.Stag Super Mini can be your next cool addition to your home or your office. For Leisure play and to bust up all your stress at work this Super mini Table tennis board set can be all that you have been waiting for.,https://sportscenter.com.np/wp-content/uploads/2021/09/Stag-table-tennis-board-Super-mini-600x600.jpg
Table Tennis Board,Table Tennis Board VIXEN CHAMPIONSHIP PLUS,91456.0,91456.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Vixen Championship is a premium offering. Only the best from Vixen. Completely built to meet the International standards and certifications. These boards are TTFI Approved boards and made for competition level matches. The best offering from Vixen and defines new heights in Quality Standards.",https://sportscenter.com.np/wp-content/uploads/2021/06/Table-tennis-board-vixen-championship-1-600x600.jpg
Table Tennis Board,Table Tennis Board VIXEN COBOT,98377.0,98377.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.COBOT is the top of the line fully loaded Table Tennis Board that VIXEN has to offer to its customers. Its made up of hard Density board oval pipes and has 4 inches wheels. It’s grande in Table Tennis Boards.",https://sportscenter.com.np/wp-content/uploads/2021/06/vixen-cobot-600x600.jpg
Table Tennis Board,Table Tennis Board Vixen Rapid,48500.0,48500.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Vixen Rapid is a new offering in Table tennis Board. It is economically priced and comes with the same brand value as every other Vixen Table tennis board. Sports Center recommends the board for home and club uses.",https://sportscenter.com.np/wp-content/uploads/2022/12/table-tennis-board-rapid-1-1-600x600.jpg
Table Tennis Board,Table Tennis Board VIXEN REPLACEMENT PLY,20500.0,20500.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.There are very few times when a specific need by the customer results in us introducing a product. The replacement ply for the Table Tennis Board is a 19mm Pre laminated ISI Mark Particleboard. Same as that shown in model VIXEN XING.",https://sportscenter.com.np/wp-content/uploads/2021/06/Table-Tennis-Board-VIXEN-Ply-Only-2-600x600.jpg
Table Tennis Board,Table Tennis Board VIXEN STAR,55007.0,55007.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Vixen Star model comes with the option of wheels and stand. They are foldable like the xing model but have wheels so that the board can easily stand alone on its own, unlike the Xing model. Sports Center recommends the board for club level or in schools and colleges where moving the board from one place to another is a major issue.",https://sportscenter.com.np/wp-content/uploads/2021/06/Table-tennis-board-vixen-Star-1-600x600.jpg
Table Tennis Board,Table Tennis Board VIXEN TOURNAMENT PLUS,66095.0,66095.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.The tournament is one of the best offerings from VIXEN Sports. They are high range premium quality table tennis, boards that are used for tournaments and competitions.",https://sportscenter.com.np/wp-content/uploads/2021/06/Table-tennis-board-vixen-Tournament-1-600x600.jpg
Tennis,Badminton Net Post Assembly Vixen Picnic,6440.0,6440.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well-perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football and indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced, and is a leader in innovative products that surpasses the expectation of the users.The Picnic Badminton net assembly set is our new excitement for picnics and leisure plays. They are portable and can be dismantled whenever and wherever you want to. Also they can also be used as Tennis nets. Ideally recommended for picnic and leisure play.",https://sportscenter.com.np/wp-content/uploads/2022/12/badminton-net-post-picnic-600x600.jpg
Tennis,Tennis Net Vixen TMQ Pro,10050.0,10050.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Tennis Net TMQ Pro is the best offering from Vixen. They come with a thick taped top, double net and wired ropes that help it keep up straight.",https://sportscenter.com.np/wp-content/uploads/2021/12/tennis-net-vixen-tmq-pro-1-600x600.jpg
Balls,Baseball Ball Official,375.0,375.0,"Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil at the needs of its growing customers.Its soft ball for play with a baseball bat. Ideal for kids and youths for game play.",https://sportscenter.com.np/wp-content/uploads/2021/01/baseball-official-3-600x600.jpg
Balls,Baseball Ball RED SUN Smart Pro,725.0,725.0,"Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil at the needs of its growing customers.These baseballs are match grade balls. Very much in the professional-grade. Sports Center recommends the ball for tournament use.",https://sportscenter.com.np/wp-content/uploads/2021/01/baseball-smart-pro-2-600x600.jpg
Balls,Baseball USI UNIVERSAL Ball,513.0,513.0,"Universal Sports India (USI Universal) is a world-renowned brand from the country India. Not only in Martial arts and fitness but they are pioneers in cricket, baseball, and other sporting fields as well.Probably the best baseball’s that you can get in the country with a cork and rubber core and hand-sewn seams.",https://sportscenter.com.np/wp-content/uploads/2020/11/baseball-usi-2-1-600x600.jpg
Bats,Baseball Bat Red Sun Multicolor,883.0,883.0,"Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil at the needs of its growing customers.RED SUN Baseball bats are made from seasoned woods. It’s for playing with a baseball ideally for leisure play. Sports Center recommends the baseball bat for recreational play.",https://sportscenter.com.np/wp-content/uploads/2021/09/baseball-bat-red-sun-color-mix-1-1-600x600.jpg
Bats,Baseball Bat RED SUN WOODEN,1224.0,1224.0,"Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil at the needs of its growing customers.RED SUN Baseball bats are made from seasoned woods. It’s for playing with a baseball ideally for leisure play. Sports Center recommends the baseball bat for recreational play.",https://sportscenter.com.np/wp-content/uploads/2021/01/baseball-bat-2-1-600x600.jpg
mitt,Baseball Mitts JONEX BOSS,1875.0,1875.0,Baseball Mitts are made of genuine leather. They are usually hard at first but will need breaking overtime to get in the shape of your hands. Jonex Boss baseball mitt is for the beginners who are starting out to play baseball.,https://sportscenter.com.np/wp-content/uploads/2021/06/baseball-mitts-jonex-boss-1-600x600.jpg
mitt,Baseball Mitts/ Catch Practice Mitt SS,2567.0,2567.0,"Sareen Sports Industries was started in the year 1969 by Mr. N.K. Sareen under the inspiration of his father Mr. M.L. Sareen, Sareen Sports Industries entered in the Indian market with a great hard work and dedication to launch their registered Trade-Mark SS SUNRIDGES in the year 1976. The company started export of cricket bats in 1979 to UK and Australia. Sareen Sports Industries manufacturers quality cricket equipment’s for meeting the requirements of national and international markets. The company also added on the production of Cricket Balls and Soft Leather Protective Equipment’s under the flagship of “SS SUNRIDGES” in the year 1985. The highest test runs scored by V.V.S. Laxman 281 and now 309 by Virender Sehwag at Multan in Pakistan are by the Cricket Bat SS TON.The Mitt is made of genuine hide leather. Sports Center recommends the mitt for catch practices.",https://sportscenter.com.np/wp-content/uploads/2021/06/fielding-practice-mitt-1-600x600.jpg
Accessories,Basketball Board Set Vixen Magic Junior,2560.0,2560.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Basketball Vixen Board set is the ultimate game win and fun for the juniors.",https://sportscenter.com.np/wp-content/uploads/2025/01/BB-board-magic-set-1-600x600.jpg
Accessories,Basketball Board Vixen Wooden 15MM,39711.0,39711.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Basketball Backboards from Vixen are made of seasoned wood, have a metal frame behind and comes along with the ring. Sold in a pair these wooden boards are weatherproof and have a sturdy built.  They last long and adhere to the official size measurements.Sports Center recommends the backboards for school, college and club level plays.",https://sportscenter.com.np/wp-content/uploads/2022/01/Basketball-backboard-wooden-600x600.jpg
Accessories,Basketball Net Vixen Premium,880.0,880.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.",https://sportscenter.com.np/wp-content/uploads/2024/02/BBall-net-premium-600x600.jpg
Accessories,Basketball Ring NET VIXEN GOLD 100 (PAIR),375.0,375.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Gold 100 is an economical offering from VIXEN. They last longer and give a fair value of use for the amount that you spent. Recommended for School level play and for recreational/ leisure play.",https://sportscenter.com.np/wp-content/uploads/2021/06/basketball-net-600x600.jpg
Accessories,Basketball Ring Net VIXEN TOURNAMENT (PAIR),635.0,635.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Vixen Tournament is the best basketball net that you can ask for. They are the best produced by the company and the best that you can find in the market. Sports Center recommends the basketball net for Tournament and matches use.",https://sportscenter.com.np/wp-content/uploads/2021/06/Basketball-net-vixen-Tournament-3-600x600.jpg
Accessories,Basketball Ring VIXEN Gold 100 (Piece),2600.0,2600.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.VIXEN Basketball rings have value for money. They are high on durability and construct while they are priced fairly. Vixen Gold 100 is the more standardized ring to be used in club games and matches.",https://sportscenter.com.np/wp-content/uploads/2021/06/Basketball-ring-vixen-club-1-600x600.jpg
Accessories,Basketball Ring VIXEN JUNIOR (Piece),1060.0,1060.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.VIXEN Basketball rings have value for money. They are high on durability and construct while they are priced fairly. Vixen’s Junior rings are for kids below the age of 8 years. They are ideal for home use and leisure/ recreational play.",https://sportscenter.com.np/wp-content/uploads/2021/06/Basketball-ring-vixen-junior-1-600x600.jpg
Accessories,Basketball Ring VIXEN PREMIUM SPRING LOADED (PIECE),5043.0,5043.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.VIXEN Basketball rings have value for money. They are high on durability and construct while they are priced fairly. Vixen Premium is a Tournament level ring. They are made of solid steel and have spring loaded systems for flexibility and better durability.",https://sportscenter.com.np/wp-content/uploads/2021/06/Basketball-ring-vixen-spring-cushioned-1-600x600.jpg
Accessories,Basketball Ring VIXEN STAR (Piece),1844.0,1844.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.VIXEN Basketball rings have value for money. They are high on durability and construct while they are priced fairly. Vixen Star is an entry-level official size basketball Ring. Ideally for the home use and leisure play.",https://sportscenter.com.np/wp-content/uploads/2021/06/Basketball-ring-vixen-star-1-600x600.jpg
Accessories,Basketball Ring VIXEN VX-1000 (Piece),4165.0,4165.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.VIXEN Basketball rings have value for money. They are high on durability and construct while they are priced fairly. Vixen VX-1000 is a match standard ring. They are made of solid steel and not tubes. Thus are extremely durable.",https://sportscenter.com.np/wp-content/uploads/2021/06/Basketball-ring-vixen-vx-1000-1-600x600.jpg
Basketballs,Basketball Jujulani Ama Dablam (Size 7),2265.0,2265.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Inspired by precision and passion, the Jujulani Ama Dablam Basketball represents countless hours of research, testing, and craftsmanship. Designed for players who demand performance and reliability, this basketball delivers exceptional grip, bounce consistency, and control on every court.",https://sportscenter.com.np/wp-content/uploads/2025/11/ama-dablam-600x600.png
Basketballs,Basketball Jujulani Cho Oyu (Size 7),3115.0,3115.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.",https://sportscenter.com.np/wp-content/uploads/2025/11/cho-oyu-600x600.png
Basketballs,Basketball Jujulani Chomolungma (Size 7) [Indoor Use Only],7137.0,7137.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Engineered for players who demand excellence, the Jujulani Chomolungma Basketball represents the pinnacle of quality and performance. Crafted using top-grade microfibre, this ball delivers unmatched grip, control, and durability, especially in indoor courts.Designed after extensive testing and refinement, the Chomolungma ensures consistent bounce and superior feel, allowing players to perform at their best in every game. Whether you’re training or competing, this ball stands as a symbol of precision and passion for basketball.",https://sportscenter.com.np/wp-content/uploads/2025/11/chomolungma-600x600.png
Basketballs,Basketball Jujulani Kala Patthar (Size 7),1600.0,1600.0,"Jujulani Basketball – Crafted Through Dedication and PrecisionAt Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Kala Patthar Basketball by Jujulani is built for those who play with passion and precision. Made from high-quality foam rubber, it offers an excellent balance of grip, durability, and control, ideal for both indoor and outdoor play.Engineered through rigorous testing and refinement, this basketball ensures consistent bounce, comfortable handling, and long-lasting performance. Designed in Nepal and inspired by the strength of Kala Patthar, it’s a tribute to the spirit of the game and the players who never stop pushing their limits.",https://sportscenter.com.np/wp-content/uploads/2025/11/kalapatthar-2-600x600.png
Basketballs,Basketball Jujulani Lhotse (Size 7),3500.0,3500.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Inspired by Molten leather basketball we have created our own version of the Hygroscopic PU rhino leather skin basketball with the same cushioning feel of the best balls. Lhotse is up the charts to take you by surprise.",https://sportscenter.com.np/wp-content/uploads/2025/11/Lhotse-600x600.png
Basketballs,Basketball Jujulani Machhapuchhre (Size 6),3990.0,3990.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Jujulani 3×3 Official BasketballEngineered to meet official FIBA 3×3 specifications, the Jujulani 3×3 Basketball delivers the perfect balance of grip, control, and consistency for the modern street and competitive game.Crafted after extensive research, testing, and benchmarking against the world’s best, this ball embodies Jujulani’s commitment to innovation and performance in Nepal’s sporting scene.Jujulani- Built for the Streets, Ready for the Game.",https://sportscenter.com.np/wp-content/uploads/2025/11/machhapuchhare-600x600.png
Basketballs,Basketball Jujulani Makalu (Size 7),3790.0,3790.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Makalu is best for its soft feel and control. An orange ball that does not fail to deliver its value.",https://sportscenter.com.np/wp-content/uploads/2025/11/makalu-600x600.png
Basketballs,Basketball Jujulani Manaslu (Size 7),3955.0,3955.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Manaslu, the black jewel, has been engineered for the soft feel with a hint of ample grip.",https://sportscenter.com.np/wp-content/uploads/2025/11/Manaslu-600x600.png
Basketballs,Basketball Jujulani Mera Size 6,2000.0,2000.0,"Jujulani Basketball – Crafted Through Dedication and PrecisionAt Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Mera is the new start ball for the prodigy and the fresh blood. Ideal for youths who are starting basketball game.",https://sportscenter.com.np/wp-content/uploads/2025/11/mera-600x600.png
Basketballs,Basketball Jujulani Nuptse (Size 7),4606.0,4606.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Nuptse is a special one-off product from Jujulani. Its Microparticle PU Skin is patented and has been presented to the market in partnership with our Chinese collaboration factory. Nowhere else can you find a PU skin that comes close to what Nuptse offers. Its strength is in its grip.",https://sportscenter.com.np/wp-content/uploads/2025/11/nuptse-3-600x600.png
Basketballs,Basketball Jujulani Sewalungma (Size 7) [Indoor Use Only],5840.0,5840.0,"At Jujulani, perfection didn’t come easy; it came through countless trials, tests, and refinements. We’ve experimented with numerous samples, studied the science of basketball performance, and benchmarked industry-leading products to create a basketball that truly stands out.Each Jujulani basketball is the result of extensive research, premium material sourcing, and a deep understanding of the game. Designed to deliver consistent bounce, grip, and durability, our range of basketballs caters to players of all levels, from beginners to professionals.With passion and persistence, we’ve built a basketball that defines performance, precision, and pride, made for the basketball enthusiasts of Nepal.Experience superior performance and durability with the Jujulani Sewalungma Basketball, crafted to meet the needs of serious players and basketball enthusiasts alike. Built with Microfibre Level 2 material, this ball offers a premium grip, enhanced control, and long-lasting bounce consistency. Strictly for indoor play only.",https://sportscenter.com.np/wp-content/uploads/2025/11/babsket-ball-jujulani-sewalungma-2-600x600.png
Basketballs,Basketball Mikasa Power Jam,3520.0,3520.0,Mikasa is an Ace ball Brand. It is the best offering from Japan to ball games. They are the best and are the official ball suppliers for major international tournaments.The most underrated basketball that you can find in the market. A dark horse and the best in offer from Japan.,https://sportscenter.com.np/wp-content/uploads/2024/08/Mikasa-power-jam-600x600.jpg
Basketballs,Basketball Spalding Force Size 7 (All Surface),3030.0,3030.0,"Spalding and the Development of Basketball over the years go hand in glove. Spalding can be considered the First Official Manufacturers of the Official Game Ball. It is a company that started as a Baseball dominating company. Spaldings founder Albert Goodwill Spalding started as a baseball pitcher, and used to pitch with every ball that he manufactured himself, later on, he started moving around into basketball, Volleyball, golf etc. Spalding has been the Official Game ball supplier for NBA since 1983. Spalding is also credited to have created the first Composite Leather Ball in the year 1992.All surface is a robust rubber basketball for all courts. Ideal for games and leisure plays.",https://sportscenter.com.np/wp-content/uploads/2024/02/spalding-force-1-600x600.jpg
Basketballs,Basketball Spalding Street Phantom,4145.0,4145.0,"Spalding and the Development of Basketball over the years go hand in glove. Spalding can be considered the First Official Manufacturers of the Official Game Ball. It is a company that started as a Baseball dominating company. Spaldings founder Albert Goodwill Spalding started as a baseball pitcher, and used to pitch with every ball that he manufactured himself, later on, he started moving around into basketball, Volleyball, golf etc. Spalding has been the Official Game ball supplier for NBA since 1983. Spalding is also credited to have created the first Composite Leather Ball in the year 1992.Street Phantom is for the streets. Very raw and robust for the real life games.",https://sportscenter.com.np/wp-content/uploads/2024/02/spalding-street-phantom-2-600x600.jpg
Basketballs,Basketball Vector X HG- 200 FIBA Approved,2223.0,2223.0,"With the growing demand for good health and fitness, Vector X comes up with innovations each day. Whether it’s hardcore fitness or trying your hands on your favourite sport, Vector X is there for you. Vector X has taken it upon themselves to make sure you are always young and fit.A part of Soccer International Pvt Ltd, a renowned sports good manufacturer with a reputation par excellence which has been exporting to different parts of the world, Vector X entered India in 1999 under the brand name Vector X.Vector X in Nepal was introduced in the year 2020. It soon rivalled other top-selling Sporting brands in the country and its presence is sure to stay for a long time in Nepal. Sports Center started the network for Vector X in Nepal and is going Strong in Nepal both in the Online and the offline channels.Vector X HG- 200 Basketball is a FIBA Approved basketball for use in tournaments and games. Adheres to the international FIBA regulations and is recommended for serious gameplays.",https://sportscenter.com.np/wp-content/uploads/2022/02/BASKETBALL-HG-200-4-600x600.jpg
